city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總 計,計,443038 ,25041 ,4075 ,4727 ,5190 ,5683 ,5366 ,26684 ,6152 ,5810 ,4669 ,4984 ,5069 ,25040 ,5288 ,4968 ,4925 ,4972 ,4887 ,26951 ,5215 ,5209 ,5969 ,5468 ,5090 ,28119 ,5566 ,5789 ,5753 ,5473 ,5538 ,27503 ,5508 ,5314 ,5577 ,5450 ,5654 ,30657 ,5452 ,5430 ,5869 ,6626 ,7280 ,42549 ,7787 ,8364 ,8815 ,8860 ,8723 ,39071 ,8107 ,8837 ,7792 ,7419 ,6916 ,34873 ,6898 ,7076 ,7044 ,7027 ,6828 ,31310 ,6447 ,6133 ,6297 ,6272 ,6161 ,28912 ,6108 ,5864 ,5651 ,5605 ,5684 ,24571 ,5040 ,4915 ,4973 ,4997 ,4646 ,19201 ,4332 ,4425 ,3853 ,3377 ,3214 ,11038 ,2642 ,2548 ,1705 ,2047 ,2096 ,9187 ,2043 ,1928 ,1865 ,1743 ,1608 ,6010 ,1429 ,1319 ,1156 ,1151 ,955 ,3978 ,948 ,833 ,826 ,749 ,622 ,1859 ,527 ,461 ,353 ,288 ,230 ,414 ,155 ,95 ,81 ,57 ,26 ,70 
新竹市,總 計,男,218615 ,12896 ,2085 ,2421 ,2647 ,2958 ,2785 ,13905 ,3172 ,3038 ,2420 ,2564 ,2711 ,13081 ,2834 ,2558 ,2575 ,2585 ,2529 ,14070 ,2743 ,2703 ,3091 ,2817 ,2716 ,14444 ,2864 ,3002 ,2969 ,2822 ,2787 ,14215 ,2864 ,2762 ,2914 ,2792 ,2883 ,15021 ,2749 ,2710 ,2893 ,3176 ,3493 ,20370 ,3780 ,3992 ,4200 ,4198 ,4200 ,19061 ,3876 ,4317 ,3796 ,3604 ,3468 ,17045 ,3350 ,3418 ,3497 ,3427 ,3353 ,15639 ,3236 ,3036 ,3128 ,3144 ,3095 ,14142 ,3018 ,2899 ,2753 ,2707 ,2765 ,11673 ,2475 ,2251 ,2375 ,2345 ,2227 ,8898 ,2033 ,2050 ,1798 ,1550 ,1467 ,4949 ,1229 ,1178 ,762 ,877 ,903 ,3822 ,878 ,823 ,759 ,714 ,648 ,2417 ,567 ,553 ,455 ,456 ,386 ,1807 ,403 ,390 ,375 ,348 ,291 ,926 ,257 ,235 ,188 ,135 ,111 ,199 ,76 ,49 ,38 ,27 ,9 ,35 
新竹市,總 計,女,224423 ,12145 ,1990 ,2306 ,2543 ,2725 ,2581 ,12779 ,2980 ,2772 ,2249 ,2420 ,2358 ,11959 ,2454 ,2410 ,2350 ,2387 ,2358 ,12881 ,2472 ,2506 ,2878 ,2651 ,2374 ,13675 ,2702 ,2787 ,2784 ,2651 ,2751 ,13288 ,2644 ,2552 ,2663 ,2658 ,2771 ,15636 ,2703 ,2720 ,2976 ,3450 ,3787 ,22179 ,4007 ,4372 ,4615 ,4662 ,4523 ,20010 ,4231 ,4520 ,3996 ,3815 ,3448 ,17828 ,3548 ,3658 ,3547 ,3600 ,3475 ,15671 ,3211 ,3097 ,3169 ,3128 ,3066 ,14770 ,3090 ,2965 ,2898 ,2898 ,2919 ,12898 ,2565 ,2664 ,2598 ,2652 ,2419 ,10303 ,2299 ,2375 ,2055 ,1827 ,1747 ,6089 ,1413 ,1370 ,943 ,1170 ,1193 ,5365 ,1165 ,1105 ,1106 ,1029 ,960 ,3593 ,862 ,766 ,701 ,695 ,569 ,2171 ,545 ,443 ,451 ,401 ,331 ,933 ,270 ,226 ,165 ,153 ,119 ,215 ,79 ,46 ,43 ,30 ,17 ,35 
新竹市,東區,計,214148 ,13037 ,1983 ,2388 ,2716 ,3054 ,2896 ,15335 ,3406 ,3269 ,2725 ,2942 ,2993 ,14699 ,3129 ,3061 ,2974 ,2835 ,2700 ,13368 ,2694 ,2630 ,2964 ,2679 ,2401 ,12769 ,2599 ,2680 ,2579 ,2422 ,2489 ,12130 ,2438 ,2319 ,2453 ,2403 ,2517 ,13851 ,2433 ,2458 ,2654 ,2998 ,3308 ,20441 ,3631 ,3981 ,4196 ,4342 ,4291 ,19506 ,4013 ,4422 ,3977 ,3704 ,3390 ,16896 ,3400 ,3465 ,3414 ,3351 ,3266 ,14466 ,2979 ,2865 ,2886 ,2908 ,2828 ,12881 ,2710 ,2600 ,2547 ,2444 ,2580 ,10921 ,2258 ,2223 ,2212 ,2208 ,2020 ,8645 ,1952 ,1964 ,1739 ,1527 ,1463 ,4980 ,1180 ,1162 ,787 ,904 ,947 ,4265 ,941 ,878 ,862 ,814 ,770 ,2877 ,677 ,660 ,538 ,556 ,446 ,1917 ,460 ,398 ,385 ,368 ,306 ,904 ,263 ,210 ,179 ,145 ,107 ,219 ,82 ,53 ,43 ,30 ,11 ,41 
新竹市,東區,男,105357 ,6726 ,1000 ,1225 ,1399 ,1607 ,1495 ,8010 ,1758 ,1719 ,1424 ,1513 ,1596 ,7719 ,1704 ,1593 ,1543 ,1485 ,1394 ,6929 ,1395 ,1342 ,1527 ,1380 ,1285 ,6585 ,1325 ,1394 ,1345 ,1237 ,1284 ,6249 ,1250 ,1179 ,1298 ,1222 ,1300 ,6679 ,1203 ,1214 ,1284 ,1395 ,1583 ,9519 ,1750 ,1890 ,1937 ,2001 ,1941 ,9350 ,1865 ,2110 ,1926 ,1760 ,1689 ,8207 ,1633 ,1621 ,1678 ,1627 ,1648 ,7238 ,1521 ,1406 ,1419 ,1467 ,1425 ,6398 ,1332 ,1297 ,1283 ,1218 ,1268 ,5212 ,1093 ,1048 ,1053 ,1031 ,987 ,3986 ,945 ,915 ,794 ,686 ,646 ,2203 ,539 ,531 ,351 ,395 ,387 ,1749 ,398 ,358 ,338 ,361 ,294 ,1152 ,281 ,261 ,200 ,229 ,181 ,868 ,192 ,194 ,178 ,168 ,136 ,448 ,130 ,102 ,96 ,73 ,47 ,107 ,46 ,24 ,18 ,15 ,4 ,23 
新竹市,東區,女,108791 ,6311 ,983 ,1163 ,1317 ,1447 ,1401 ,7325 ,1648 ,1550 ,1301 ,1429 ,1397 ,6980 ,1425 ,1468 ,1431 ,1350 ,1306 ,6439 ,1299 ,1288 ,1437 ,1299 ,1116 ,6184 ,1274 ,1286 ,1234 ,1185 ,1205 ,5881 ,1188 ,1140 ,1155 ,1181 ,1217 ,7172 ,1230 ,1244 ,1370 ,1603 ,1725 ,10922 ,1881 ,2091 ,2259 ,2341 ,2350 ,10156 ,2148 ,2312 ,2051 ,1944 ,1701 ,8689 ,1767 ,1844 ,1736 ,1724 ,1618 ,7228 ,1458 ,1459 ,1467 ,1441 ,1403 ,6483 ,1378 ,1303 ,1264 ,1226 ,1312 ,5709 ,1165 ,1175 ,1159 ,1177 ,1033 ,4659 ,1007 ,1049 ,945 ,841 ,817 ,2777 ,641 ,631 ,436 ,509 ,560 ,2516 ,543 ,520 ,524 ,453 ,476 ,1725 ,396 ,399 ,338 ,327 ,265 ,1049 ,268 ,204 ,207 ,200 ,170 ,456 ,133 ,108 ,83 ,72 ,60 ,112 ,36 ,29 ,25 ,15 ,7 ,18 
新竹市,北區,計,150766 ,7737 ,1322 ,1450 ,1589 ,1743 ,1633 ,8084 ,1880 ,1835 ,1398 ,1471 ,1500 ,7122 ,1551 ,1371 ,1358 ,1435 ,1407 ,8864 ,1677 ,1697 ,1933 ,1807 ,1750 ,9778 ,1895 ,2000 ,2017 ,1968 ,1898 ,9647 ,1929 ,1867 ,1933 ,1926 ,1992 ,10686 ,1882 ,1921 ,2060 ,2287 ,2536 ,14151 ,2617 ,2784 ,2960 ,2922 ,2868 ,12806 ,2643 ,2965 ,2503 ,2418 ,2277 ,11851 ,2291 ,2400 ,2363 ,2444 ,2353 ,11070 ,2345 ,2164 ,2241 ,2180 ,2140 ,10463 ,2213 ,2148 ,2012 ,2049 ,2041 ,9138 ,1890 ,1786 ,1863 ,1837 ,1762 ,7223 ,1547 ,1706 ,1435 ,1333 ,1202 ,4181 ,1011 ,962 ,618 ,768 ,822 ,3412 ,766 ,705 ,709 ,663 ,569 ,2188 ,531 ,460 ,449 ,394 ,354 ,1485 ,341 ,301 ,319 ,284 ,240 ,718 ,200 ,179 ,138 ,109 ,92 ,146 ,57 ,30 ,29 ,24 ,6 ,16 
新竹市,北區,男,73597 ,3952 ,681 ,742 ,804 ,872 ,853 ,4211 ,966 ,961 ,710 ,744 ,830 ,3654 ,809 ,676 ,727 ,740 ,702 ,4630 ,889 ,882 ,1008 ,934 ,917 ,4999 ,970 ,1007 ,1038 ,1025 ,959 ,5034 ,1021 ,986 ,1012 ,1009 ,1006 ,5230 ,965 ,949 ,1021 ,1124 ,1171 ,6764 ,1244 ,1297 ,1394 ,1394 ,1435 ,6153 ,1235 ,1447 ,1199 ,1158 ,1114 ,5712 ,1080 ,1173 ,1163 ,1190 ,1106 ,5460 ,1143 ,1060 ,1101 ,1079 ,1077 ,4988 ,1087 ,1035 ,960 ,929 ,977 ,4246 ,922 ,775 ,880 ,849 ,820 ,3317 ,705 ,782 ,674 ,617 ,539 ,1867 ,474 ,441 ,277 ,305 ,370 ,1378 ,315 ,290 ,287 ,251 ,235 ,868 ,198 ,195 ,182 ,153 ,140 ,667 ,142 ,129 ,144 ,137 ,115 ,383 ,102 ,100 ,77 ,51 ,53 ,76 ,24 ,19 ,19 ,11 ,3 ,8 
新竹市,北區,女,77169 ,3785 ,641 ,708 ,785 ,871 ,780 ,3873 ,914 ,874 ,688 ,727 ,670 ,3468 ,742 ,695 ,631 ,695 ,705 ,4234 ,788 ,815 ,925 ,873 ,833 ,4779 ,925 ,993 ,979 ,943 ,939 ,4613 ,908 ,881 ,921 ,917 ,986 ,5456 ,917 ,972 ,1039 ,1163 ,1365 ,7387 ,1373 ,1487 ,1566 ,1528 ,1433 ,6653 ,1408 ,1518 ,1304 ,1260 ,1163 ,6139 ,1211 ,1227 ,1200 ,1254 ,1247 ,5610 ,1202 ,1104 ,1140 ,1101 ,1063 ,5475 ,1126 ,1113 ,1052 ,1120 ,1064 ,4892 ,968 ,1011 ,983 ,988 ,942 ,3906 ,842 ,924 ,761 ,716 ,663 ,2314 ,537 ,521 ,341 ,463 ,452 ,2034 ,451 ,415 ,422 ,412 ,334 ,1320 ,333 ,265 ,267 ,241 ,214 ,818 ,199 ,172 ,175 ,147 ,125 ,335 ,98 ,79 ,61 ,58 ,39 ,70 ,33 ,11 ,10 ,13 ,3 ,8 
新竹市,香山區,計,78124 ,4267 ,770 ,889 ,885 ,886 ,837 ,3265 ,866 ,706 ,546 ,571 ,576 ,3219 ,608 ,536 ,593 ,702 ,780 ,4719 ,844 ,882 ,1072 ,982 ,939 ,5572 ,1072 ,1109 ,1157 ,1083 ,1151 ,5726 ,1141 ,1128 ,1191 ,1121 ,1145 ,6120 ,1137 ,1051 ,1155 ,1341 ,1436 ,7957 ,1539 ,1599 ,1659 ,1596 ,1564 ,6759 ,1451 ,1450 ,1312 ,1297 ,1249 ,6126 ,1207 ,1211 ,1267 ,1232 ,1209 ,5774 ,1123 ,1104 ,1170 ,1184 ,1193 ,5568 ,1185 ,1116 ,1092 ,1112 ,1063 ,4512 ,892 ,906 ,898 ,952 ,864 ,3333 ,833 ,755 ,679 ,517 ,549 ,1877 ,451 ,424 ,300 ,375 ,327 ,1510 ,336 ,345 ,294 ,266 ,269 ,945 ,221 ,199 ,169 ,201 ,155 ,576 ,147 ,134 ,122 ,97 ,76 ,237 ,64 ,72 ,36 ,34 ,31 ,49 ,16 ,12 ,9 ,3 ,9 ,13 
