city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21
新竹市,總計,計,441639,24770,4078,4819,5252,5530,5091,26543,6410,5511,4473,5107,5042,25045,5178,5094,4789,5040,4944,26978,5256,5360,6030,5451,4881,28296,5792,5826,5718,5435,5525,27479,5430,5414,5642,5269,5724,30907,5424,5331,6012,6885,7255,42659,7941,8544,8784,8780,8610,38560,8001,8959,7565,7216,6819,34986,7025,7101,7103,6991,6766,31320,6277,6304,6354,6158,6227,28579,6134,5674,5825,5493,5453,24476,5054,5038,4967,4859,4558,18766,4403,4413,3563,3443,2944,10803,2625,2233,1741,2100,2104,9088,2059,1911,1882,1723,1513,6019,1466,1275,1216,1103,959,4033,977,855,822,759,620,1854,536,460,364,269,225,415,143,111,73,52,36,63
新竹市,總計,男,218043,12771,2098,2442,2724,2857,2650,13888,3272,2903,2347,2621,2745,13043,2715,2654,2462,2649,2563,14056,2762,2799,3095,2838,2562,14543,3009,3005,2946,2816,2767,14215,2834,2804,2962,2722,2893,15112,2732,2653,2935,3320,3472,20412,3858,4070,4192,4137,4155,18812,3854,4383,3646,3561,3368,17121,3425,3450,3526,3353,3367,15673,3189,3114,3157,3107,3106,14019,3038,2801,2844,2671,2665,11603,2404,2342,2371,2312,2174,8726,2072,2041,1671,1600,1342,4818,1220,1025,752,921,900,3772,872,821,767,703,609,2431,583,524,490,444,390,1872,437,396,392,346,301,932,262,250,182,126,112,195,72,54,34,18,17,29
新竹市,總計,女,223596,11999,1980,2377,2528,2673,2441,12655,3138,2608,2126,2486,2297,12002,2463,2440,2327,2391,2381,12922,2494,2561,2935,2613,2319,13753,2783,2821,2772,2619,2758,13264,2596,2610,2680,2547,2831,15795,2692,2678,3077,3565,3783,22247,4083,4474,4592,4643,4455,19748,4147,4576,3919,3655,3451,17865,3600,3651,3577,3638,3399,15647,3088,3190,3197,3051,3121,14560,3096,2873,2981,2822,2788,12873,2650,2696,2596,2547,2384,10040,2331,2372,1892,1843,1602,5985,1405,1208,989,1179,1204,5316,1187,1090,1115,1020,904,3588,883,751,726,659,569,2161,540,459,430,413,319,922,274,210,182,143,113,220,71,57,39,34,19,34
新竹市,東區,計,212905,12793,1953,2450,2735,2902,2753,15196,3523,3138,2602,3020,2913,14636,3116,3111,2830,2884,2695,13352,2752,2652,3015,2617,2316,12812,2688,2658,2562,2410,2494,12102,2383,2403,2448,2344,2524,13893,2396,2380,2717,3092,3308,20432,3659,4038,4234,4256,4245,19207,3916,4521,3799,3565,3406,16900,3402,3482,3465,3328,3223,14446,2890,2920,2937,2898,2801,12717,2695,2519,2588,2455,2460,10876,2222,2286,2267,2088,2013,8452,1948,1993,1578,1598,1335,4904,1181,1040,783,920,980,4204,924,870,882,807,721,2877,699,640,564,526,448,1960,483,399,388,380,310,891,258,217,180,132,104,218,80,60,35,23,20,37
新竹市,東區,男,104773,6611,1001,1262,1420,1515,1413,7973,1816,1672,1352,1547,1586,7652,1670,1629,1441,1548,1364,6916,1421,1373,1533,1373,1216,6620,1373,1390,1326,1249,1282,6219,1217,1212,1296,1216,1278,6689,1206,1156,1306,1453,1568,9516,1782,1912,1956,1924,1942,9194,1838,2165,1811,1711,1669,8249,1649,1631,1712,1602,1655,7219,1472,1436,1421,1470,1420,6314,1328,1280,1281,1231,1194,5200,1079,1066,1081,1002,972,3896,947,909,724,719,597,2161,530,484,336,412,399,1711,373,360,362,336,280,1151,280,248,223,214,186,908,213,185,194,168,148,449,126,115,100,54,54,105,46,26,16,9,8,20
新竹市,東區,女,108132,6182,952,1188,1315,1387,1340,7223,1707,1466,1250,1473,1327,6984,1446,1482,1389,1336,1331,6436,1331,1279,1482,1244,1100,6192,1315,1268,1236,1161,1212,5883,1166,1191,1152,1128,1246,7204,1190,1224,1411,1639,1740,10916,1877,2126,2278,2332,2303,10013,2078,2356,1988,1854,1737,8651,1753,1851,1753,1726,1568,7227,1418,1484,1516,1428,1381,6403,1367,1239,1307,1224,1266,5676,1143,1220,1186,1086,1041,4556,1001,1084,854,879,738,2743,651,556,447,508,581,2493,551,510,520,471,441,1726,419,392,341,312,262,1052,270,214,194,212,162,442,132,102,80,78,50,113,34,34,19,14,12,17
新竹市,北區,計,150719,7727,1337,1467,1639,1735,1549,8067,1998,1715,1352,1478,1524,7193,1485,1438,1368,1411,1491,8900,1647,1798,1927,1860,1668,9826,1949,2051,2032,1942,1852,9656,1939,1846,2004,1839,2028,10828,1912,1893,2121,2360,2542,14243,2699,2841,2959,2928,2816,12672,2647,2971,2458,2378,2218,11973,2406,2394,2377,2432,2364,11059,2236,2279,2261,2058,2225,10384,2255,2055,2087,1985,2002,9068,1906,1827,1818,1818,1699,7083,1630,1656,1372,1312,1113,4070,1000,830,623,826,791,3384,777,719,724,629,535,2199,545,455,465,376,358,1511,356,319,312,289,235,721,204,178,144,100,95,142,47,35,30,21,9,13
新竹市,北區,男,73639,3946,683,734,841,869,819,4216,1010,890,723,755,838,3692,740,745,722,718,767,4646,884,930,993,959,880,5019,1003,1030,1054,999,933,5071,1027,990,1048,966,1040,5268,942,932,1053,1159,1182,6802,1287,1305,1407,1399,1404,6091,1240,1442,1166,1170,1073,5753,1141,1180,1158,1161,1113,5481,1111,1104,1144,1026,1096,4985,1115,975,982,957,956,4185,870,818,856,846,795,3281,743,763,650,614,511,1803,471,368,256,349,359,1361,308,304,280,250,219,881,209,193,188,149,142,695,156,144,146,135,114,386,105,106,70,56,49,71,19,22,16,8,6,6
新竹市,北區,女,77080,3781,654,733,798,866,730,3851,988,825,629,723,686,3501,745,693,646,693,724,4254,763,868,934,901,788,4807,946,1021,978,943,919,4585,912,856,956,873,988,5560,970,961,1068,1201,1360,7441,1412,1536,1552,1529,1412,6581,1407,1529,1292,1208,1145,6220,1265,1214,1219,1271,1251,5578,1125,1175,1117,1032,1129,5399,1140,1080,1105,1028,1046,4883,1036,1009,962,972,904,3802,887,893,722,698,602,2267,529,462,367,477,432,2023,469,415,444,379,316,1318,336,262,277,227,216,816,200,175,166,154,121,335,99,72,74,44,46,71,28,13,14,13,3,7
新竹市,香山區,計,78015,4250,788,902,878,893,789,3280,889,658,519,609,605,3216,577,545,591,745,758,4726,857,910,1088,974,897,5658,1155,1117,1124,1083,1179,5721,1108,1165,1190,1086,1172,6186,1116,1058,1174,1433,1405,7984,1583,1665,1591,1596,1549,6681,1438,1467,1308,1273,1195,6113,1217,1225,1261,1231,1179,5815,1151,1105,1156,1202,1201,5478,1184,1100,1150,1053,991,4532,926,925,882,953,846,3231,825,764,613,533,496,1829,444,363,335,354,333,1500,358,322,276,287,257,943,222,180,187,201,153,562,138,137,122,90,75,242,74,65,40,37,26,55,16,16,8,8,7,13
