city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21,
新竹市,總 計,計,444775 ,25038 ,3900 ,4667 ,5114 ,5616 ,5741 ,26782 ,5608 ,6152 ,5248 ,4588 ,5186 ,25076 ,5219 ,5053 ,5063 ,4818 ,4923 ,26876 ,5056 ,5211 ,5474 ,5842 ,5293 ,27646 ,5008 ,5890 ,5738 ,5581 ,5429 ,27467 ,5496 ,5471 ,5424 ,5658 ,5418 ,30343 ,5629 ,5540 ,5647 ,6345 ,7182 ,42215 ,7544 ,8297 ,8729 ,8793 ,8852 ,40010 ,8559 ,8354 ,8584 ,7436 ,7077 ,34940 ,6918 ,6979 ,7052 ,6997 ,6994 ,31485 ,6610 ,6222 ,6260 ,6306 ,6087 ,29164 ,6221 ,6048 ,5594 ,5709 ,5592 ,24876 ,5226 ,4932 ,4961 ,5036 ,4721 ,19785 ,4443 ,4383 ,4212 ,3442 ,3305 ,11314 ,2771 ,2590 ,2030 ,1806 ,2117 ,9263 ,2038 ,2000 ,1787 ,1819 ,1619 ,6122 ,1434 ,1384 ,1194 ,1138 ,972 ,3951 ,910 ,888 ,787 ,754 ,612 ,1902 ,562 ,451 ,362 ,305 ,222 ,449 ,179 ,100 ,88 ,57 ,25 ,71 ,
新竹市,總 計,男,219393 ,12859 ,1979 ,2392 ,2617 ,2916 ,2955 ,13925 ,2895 ,3183 ,2737 ,2396 ,2714 ,13116 ,2825 ,2605 ,2620 ,2497 ,2569 ,14001 ,2649 ,2734 ,2850 ,3007 ,2761 ,14295 ,2613 ,3064 ,2958 ,2872 ,2788 ,14178 ,2793 ,2825 ,2842 ,2922 ,2796 ,14938 ,2850 ,2775 ,2822 ,3061 ,3430 ,20163 ,3602 ,4000 ,4161 ,4215 ,4185 ,19508 ,4107 ,4041 ,4178 ,3648 ,3534 ,17044 ,3359 ,3430 ,3415 ,3463 ,3377 ,15710 ,3326 ,3127 ,3079 ,3159 ,3019 ,14340 ,3121 ,2995 ,2771 ,2744 ,2709 ,11787 ,2542 ,2285 ,2323 ,2374 ,2263 ,9202 ,2098 ,2034 ,1937 ,1597 ,1536 ,5079 ,1267 ,1211 ,906 ,769 ,926 ,3847 ,873 ,841 ,752 ,730 ,651 ,2453 ,571 ,550 ,491 ,452 ,389 ,1755 ,360 ,409 ,351 ,361 ,274 ,945 ,276 ,220 ,200 ,142 ,107 ,214 ,82 ,51 ,45 ,28 ,8 ,34 ,
新竹市,總 計,女,225382 ,12179 ,1921 ,2275 ,2497 ,2700 ,2786 ,12857 ,2713 ,2969 ,2511 ,2192 ,2472 ,11960 ,2394 ,2448 ,2443 ,2321 ,2354 ,12875 ,2407 ,2477 ,2624 ,2835 ,2532 ,13351 ,2395 ,2826 ,2780 ,2709 ,2641 ,13289 ,2703 ,2646 ,2582 ,2736 ,2622 ,15405 ,2779 ,2765 ,2825 ,3284 ,3752 ,22052 ,3942 ,4297 ,4568 ,4578 ,4667 ,20502 ,4452 ,4313 ,4406 ,3788 ,3543 ,17896 ,3559 ,3549 ,3637 ,3534 ,3617 ,15775 ,3284 ,3095 ,3181 ,3147 ,3068 ,14824 ,3100 ,3053 ,2823 ,2965 ,2883 ,13089 ,2684 ,2647 ,2638 ,2662 ,2458 ,10583 ,2345 ,2349 ,2275 ,1845 ,1769 ,6235 ,1504 ,1379 ,1124 ,1037 ,1191 ,5416 ,1165 ,1159 ,1035 ,1089 ,968 ,3669 ,863 ,834 ,703 ,686 ,583 ,2196 ,550 ,479 ,436 ,393 ,338 ,957 ,286 ,231 ,162 ,163 ,115 ,235 ,97 ,49 ,43 ,29 ,17 ,37 ,
新竹市,東區,計,215079 ,13105 ,1933 ,2350 ,2724 ,2980 ,3118 ,15437 ,3089 ,3437 ,3075 ,2745 ,3091 ,14653 ,3071 ,3134 ,3029 ,2708 ,2711 ,13338 ,2616 ,2666 ,2684 ,2851 ,2521 ,12509 ,2352 ,2697 ,2579 ,2490 ,2391 ,12185 ,2484 ,2355 ,2438 ,2454 ,2454 ,13815 ,2546 ,2530 ,2562 ,2899 ,3278 ,20236 ,3488 ,3930 ,4193 ,4269 ,4356 ,19945 ,4261 ,4122 ,4371 ,3688 ,3503 ,16938 ,3453 ,3361 ,3437 ,3334 ,3353 ,14573 ,3130 ,2830 ,2865 ,2915 ,2833 ,12957 ,2774 ,2643 ,2501 ,2524 ,2515 ,11067 ,2359 ,2218 ,2230 ,2253 ,2007 ,8915 ,1972 ,1993 ,1869 ,1559 ,1522 ,5105 ,1255 ,1161 ,952 ,809 ,928 ,4269 ,957 ,903 ,810 ,868 ,731 ,2952 ,687 ,693 ,577 ,532 ,463 ,1889 ,425 ,436 ,359 ,354 ,315 ,917 ,281 ,203 ,179 ,149 ,105 ,235 ,93 ,57 ,42 ,31 ,12 ,39 ,
新竹市,東區,男,105731 ,6713 ,955 ,1189 ,1407 ,1547 ,1615 ,8039 ,1584 ,1803 ,1612 ,1417 ,1623 ,7726 ,1678 ,1634 ,1580 ,1400 ,1434 ,6860 ,1330 ,1364 ,1385 ,1476 ,1305 ,6480 ,1241 ,1384 ,1348 ,1270 ,1237 ,6290 ,1276 ,1208 ,1254 ,1278 ,1274 ,6708 ,1272 ,1263 ,1251 ,1381 ,1541 ,9462 ,1666 ,1885 ,1956 ,2004 ,1951 ,9514 ,1956 ,1947 ,2099 ,1785 ,1727 ,8180 ,1653 ,1622 ,1643 ,1636 ,1626 ,7284 ,1623 ,1424 ,1391 ,1444 ,1402 ,6477 ,1413 ,1285 ,1296 ,1243 ,1240 ,5253 ,1132 ,1041 ,1053 ,1074 ,953 ,4137 ,959 ,947 ,847 ,710 ,674 ,2276 ,570 ,532 ,423 ,347 ,404 ,1740 ,402 ,351 ,338 ,354 ,295 ,1160 ,274 ,265 ,232 ,204 ,185 ,844 ,176 ,200 ,158 ,179 ,131 ,451 ,135 ,99 ,96 ,79 ,42 ,116 ,47 ,32 ,18 ,15 ,4 ,21 ,
新竹市,東區,女,109348 ,6392 ,978 ,1161 ,1317 ,1433 ,1503 ,7398 ,1505 ,1634 ,1463 ,1328 ,1468 ,6927 ,1393 ,1500 ,1449 ,1308 ,1277 ,6478 ,1286 ,1302 ,1299 ,1375 ,1216 ,6029 ,1111 ,1313 ,1231 ,1220 ,1154 ,5895 ,1208 ,1147 ,1184 ,1176 ,1180 ,7107 ,1274 ,1267 ,1311 ,1518 ,1737 ,10774 ,1822 ,2045 ,2237 ,2265 ,2405 ,10431 ,2305 ,2175 ,2272 ,1903 ,1776 ,8758 ,1800 ,1739 ,1794 ,1698 ,1727 ,7289 ,1507 ,1406 ,1474 ,1471 ,1431 ,6480 ,1361 ,1358 ,1205 ,1281 ,1275 ,5814 ,1227 ,1177 ,1177 ,1179 ,1054 ,4778 ,1013 ,1046 ,1022 ,849 ,848 ,2829 ,685 ,629 ,529 ,462 ,524 ,2529 ,555 ,552 ,472 ,514 ,436 ,1792 ,413 ,428 ,345 ,328 ,278 ,1045 ,249 ,236 ,201 ,175 ,184 ,466 ,146 ,104 ,83 ,70 ,63 ,119 ,46 ,25 ,24 ,16 ,8 ,18 ,
新竹市,北區,計,151391 ,7724 ,1246 ,1467 ,1525 ,1748 ,1738 ,8124 ,1725 ,1960 ,1600 ,1350 ,1489 ,7208 ,1553 ,1383 ,1431 ,1426 ,1415 ,8787 ,1600 ,1662 ,1796 ,1940 ,1789 ,9685 ,1716 ,2009 ,2043 ,1983 ,1934 ,9581 ,1865 ,1981 ,1839 ,2015 ,1881 ,10521 ,1968 ,1884 ,1971 ,2225 ,2473 ,14115 ,2570 ,2787 ,2872 ,2938 ,2948 ,13098 ,2752 ,2812 ,2792 ,2451 ,2291 ,11828 ,2247 ,2406 ,2376 ,2419 ,2380 ,11107 ,2325 ,2246 ,2263 ,2215 ,2058 ,10567 ,2256 ,2233 ,2003 ,2045 ,2030 ,9251 ,1946 ,1839 ,1805 ,1874 ,1787 ,7418 ,1616 ,1658 ,1592 ,1303 ,1249 ,4295 ,1053 ,992 ,754 ,656 ,840 ,3464 ,749 ,750 ,691 ,673 ,601 ,2215 ,520 ,485 ,452 ,426 ,332 ,1490 ,343 ,325 ,297 ,293 ,232 ,735 ,207 ,180 ,140 ,121 ,87 ,161 ,69 ,28 ,34 ,24 ,6 ,17 ,
新竹市,北區,男,73908 ,3946 ,647 ,761 ,774 ,892 ,872 ,4214 ,886 ,1011 ,829 ,716 ,772 ,3722 ,835 ,696 ,731 ,758 ,702 ,4604 ,841 ,896 ,937 ,998 ,932 ,4975 ,879 ,1036 ,1022 ,1049 ,989 ,4970 ,954 ,1020 ,983 ,1041 ,972 ,5186 ,1016 ,929 ,983 ,1089 ,1169 ,6662 ,1186 ,1315 ,1339 ,1390 ,1432 ,6342 ,1343 ,1351 ,1329 ,1190 ,1129 ,5711 ,1059 ,1173 ,1146 ,1188 ,1145 ,5462 ,1121 ,1101 ,1100 ,1119 ,1021 ,5064 ,1104 ,1109 ,955 ,935 ,961 ,4298 ,955 ,810 ,823 ,865 ,845 ,3426 ,740 ,752 ,735 ,603 ,596 ,1905 ,485 ,457 ,339 ,261 ,363 ,1402 ,322 ,306 ,276 ,262 ,236 ,890 ,209 ,186 ,191 ,175 ,129 ,653 ,130 ,141 ,139 ,130 ,113 ,385 ,103 ,95 ,82 ,52 ,53 ,82 ,31 ,14 ,23 ,12 ,2 ,9 ,
新竹市,北區,女,77483 ,3778 ,599 ,706 ,751 ,856 ,866 ,3910 ,839 ,949 ,771 ,634 ,717 ,3486 ,718 ,687 ,700 ,668 ,713 ,4183 ,759 ,766 ,859 ,942 ,857 ,4710 ,837 ,973 ,1021 ,934 ,945 ,4611 ,911 ,961 ,856 ,974 ,909 ,5335 ,952 ,955 ,988 ,1136 ,1304 ,7453 ,1384 ,1472 ,1533 ,1548 ,1516 ,6756 ,1409 ,1461 ,1463 ,1261 ,1162 ,6117 ,1188 ,1233 ,1230 ,1231 ,1235 ,5645 ,1204 ,1145 ,1163 ,1096 ,1037 ,5503 ,1152 ,1124 ,1048 ,1110 ,1069 ,4953 ,991 ,1029 ,982 ,1009 ,942 ,3992 ,876 ,906 ,857 ,700 ,653 ,2390 ,568 ,535 ,415 ,395 ,477 ,2062 ,427 ,444 ,415 ,411 ,365 ,1325 ,311 ,299 ,261 ,251 ,203 ,837 ,213 ,184 ,158 ,163 ,119 ,350 ,104 ,85 ,58 ,69 ,34 ,79 ,38 ,14 ,11 ,12 ,4 ,8 ,
新竹市,香山區,計,78305 ,4209 ,721 ,850 ,865 ,888 ,885 ,3221 ,794 ,755 ,573 ,493 ,606 ,3215 ,595 ,536 ,603 ,684 ,797 ,4751 ,840 ,883 ,994 ,1051 ,983 ,5452 ,940 ,1184 ,1116 ,1108 ,1104 ,5701 ,1147 ,1135 ,1147 ,1189 ,1083 ,6007 ,1115 ,1126 ,1114 ,1221 ,1431 ,7864 ,1486 ,1580 ,1664 ,1586 ,1548 ,6967 ,1546 ,1420 ,1421 ,1297 ,1283 ,6174 ,1218 ,1212 ,1239 ,1244 ,1261 ,5805 ,1155 ,1146 ,1132 ,1176 ,1196 ,5640 ,1191 ,1172 ,1090 ,1140 ,1047 ,4558 ,921 ,875 ,926 ,909 ,927 ,3452 ,855 ,732 ,751 ,580 ,534 ,1914 ,463 ,437 ,324 ,341 ,349 ,1530 ,332 ,347 ,286 ,278 ,287 ,955 ,227 ,206 ,165 ,180 ,177 ,572 ,142 ,127 ,131 ,107 ,65 ,250 ,74 ,68 ,43 ,35 ,30 ,53 ,17 ,15 ,12 ,2 ,7 ,15 ,
