city,area,gender,total,total_age1,age_0,age_1,age_2,age_3,age_4,total_age2,age_5,age_6,age_7,age_8,age_9,total_age3,age_10,age_11,age_12,age_13,age_14,total_age4,age_15,age_16,age_17,age_18,age_19,total_age5,age_20,age_21,age_22,age_23,age_24,total_age6,age_25,age_26,age_27,age_28,age_29,total_age7,age_30,age_31,age_32,age_33,age_34,total_age8,age35,age_36,age_37,age_38,age_39,total_age9,age_40,age_41,age_42,age_43,age_44,total_age10,age45,age_46,age_47,age_48,age_49,total_age11,age_50,age_51,age_52,age_53,age_54,total_age12,age55,age_56,age_57,age_58,age_59,total_age13,age_60,age_61,age_62,age_63,age_64,total_age14,age65,age_66,age_67,age_68,age_69,total_age15,age_70,age_71,age_72,age_73,age_74,total_age16,age75,age_76,age_77,age_78,age_79,total_age17,age_80,age_81,age_82,age_83,age_84,total_age18,age85,age_86,age_87,age_88,age_89,total_age19,age_90,age_91,age_92,age_93,age_94,total_age20,age95,age_96,age_97,age_98,age_99,total_age21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,計,442570 ,24875 ,4059 ,4753 ,5187 ,5605 ,5271 ,26671 ,6274 ,5715 ,4606 ,4989 ,5087 ,25068 ,5286 ,4976 ,4912 ,4995 ,4899 ,26934 ,5226 ,5244 ,5922 ,5535 ,5007 ,28149 ,5642 ,5785 ,5750 ,5463 ,5509 ,27519 ,5504 ,5354 ,5605 ,5369 ,5687 ,30690 ,5423 ,5446 ,5859 ,6686 ,7276 ,42557 ,7786 ,8433 ,8822 ,8821 ,8695 ,38907 ,8082 ,8853 ,7762 ,7357 ,6853 ,34905 ,6973 ,7040 ,7069 ,7023 ,6800 ,31295 ,6406 ,6184 ,6276 ,6255 ,6174 ,28908 ,6162 ,5843 ,5591 ,5615 ,5697 ,24433 ,4988 ,4942 ,4955 ,4946 ,4602 ,19174 ,4393 ,4458 ,3723 ,3336 ,3264 ,10993 ,2595 ,2556 ,1677 ,2067 ,2098 ,9159 ,2050 ,1885 ,1892 ,1711 ,1621 ,6008 ,1412 ,1317 ,1166 ,1156 ,957 ,3980 ,936 ,856 ,827 ,755 ,606 ,1868 ,544 ,454 ,347 ,285 ,238 ,409 ,148 ,99 ,78 ,55 ,29 ,68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,男,218393 ,12797 ,2079 ,2419 ,2645 ,2917 ,2737 ,13927 ,3234 ,3003 ,2394 ,2559 ,2737 ,13089 ,2803 ,2568 ,2573 ,2577 ,2568 ,14056 ,2758 ,2700 ,3055 ,2867 ,2676 ,14452 ,2916 ,2979 ,2976 ,2827 ,2754 ,14226 ,2873 ,2773 ,2942 ,2743 ,2895 ,15036 ,2747 ,2719 ,2877 ,3209 ,3484 ,20367 ,3802 ,3989 ,4213 ,4184 ,4179 ,18992 ,3895 ,4308 ,3787 ,3557 ,3445 ,17048 ,3375 ,3409 ,3516 ,3411 ,3337 ,15646 ,3234 ,3055 ,3122 ,3136 ,3099 ,14137 ,3039 ,2882 ,2736 ,2732 ,2748 ,11616 ,2452 ,2264 ,2359 ,2330 ,2211 ,8883 ,2058 ,2069 ,1736 ,1524 ,1496 ,4921 ,1206 ,1179 ,744 ,886 ,906 ,3805 ,879 ,811 ,768 ,699 ,648 ,2425 ,565 ,544 ,473 ,455 ,388 ,1811 ,404 ,394 ,385 ,348 ,280 ,931 ,259 ,240 ,184 ,131 ,117 ,193 ,73 ,51 ,35 ,25 ,9 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,總 計,女,224177 ,12078 ,1980 ,2334 ,2542 ,2688 ,2534 ,12744 ,3040 ,2712 ,2212 ,2430 ,2350 ,11979 ,2483 ,2408 ,2339 ,2418 ,2331 ,12878 ,2468 ,2544 ,2867 ,2668 ,2331 ,13697 ,2726 ,2806 ,2774 ,2636 ,2755 ,13293 ,2631 ,2581 ,2663 ,2626 ,2792 ,15654 ,2676 ,2727 ,2982 ,3477 ,3792 ,22190 ,3984 ,4444 ,4609 ,4637 ,4516 ,19915 ,4187 ,4545 ,3975 ,3800 ,3408 ,17857 ,3598 ,3631 ,3553 ,3612 ,3463 ,15649 ,3172 ,3129 ,3154 ,3119 ,3075 ,14771 ,3123 ,2961 ,2855 ,2883 ,2949 ,12817 ,2536 ,2678 ,2596 ,2616 ,2391 ,10291 ,2335 ,2389 ,1987 ,1812 ,1768 ,6072 ,1389 ,1377 ,933 ,1181 ,1192 ,5354 ,1171 ,1074 ,1124 ,1012 ,973 ,3583 ,847 ,773 ,693 ,701 ,569 ,2169 ,532 ,462 ,442 ,407 ,326 ,937 ,285 ,214 ,163 ,154 ,121 ,216 ,75 ,48 ,43 ,30 ,20 ,33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,計,213839 ,12911 ,1979 ,2395 ,2697 ,3021 ,2819 ,15308 ,3466 ,3244 ,2673 ,2945 ,2980 ,14752 ,3135 ,3073 ,2972 ,2849 ,2723 ,13348 ,2711 ,2618 ,2952 ,2702 ,2365 ,12765 ,2639 ,2654 ,2580 ,2428 ,2464 ,12151 ,2450 ,2337 ,2458 ,2360 ,2546 ,13860 ,2396 ,2479 ,2645 ,3007 ,3333 ,20429 ,3582 ,4022 ,4190 ,4315 ,4320 ,19399 ,3967 ,4456 ,3936 ,3661 ,3379 ,16923 ,3414 ,3464 ,3443 ,3354 ,3248 ,14446 ,2969 ,2855 ,2911 ,2894 ,2817 ,12851 ,2723 ,2603 ,2509 ,2483 ,2533 ,10876 ,2235 ,2251 ,2212 ,2191 ,1987 ,8651 ,1969 ,1993 ,1699 ,1504 ,1486 ,4975 ,1160 ,1172 ,764 ,919 ,960 ,4233 ,937 ,855 ,874 ,798 ,769 ,2875 ,678 ,657 ,543 ,554 ,443 ,1917 ,459 ,405 ,390 ,372 ,291 ,912 ,278 ,200 ,180 ,145 ,109 ,219 ,81 ,56 ,38 ,29 ,15 ,38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,男,105194 ,6646 ,992 ,1218 ,1386 ,1597 ,1453 ,8006 ,1781 ,1727 ,1396 ,1513 ,1589 ,7744 ,1693 ,1598 ,1552 ,1486 ,1415 ,6923 ,1407 ,1322 ,1517 ,1406 ,1271 ,6581 ,1348 ,1373 ,1354 ,1247 ,1259 ,6253 ,1263 ,1174 ,1305 ,1204 ,1307 ,6696 ,1194 ,1226 ,1284 ,1395 ,1597 ,9508 ,1738 ,1904 ,1924 ,1985 ,1957 ,9293 ,1867 ,2122 ,1901 ,1720 ,1683 ,8219 ,1644 ,1623 ,1689 ,1623 ,1640 ,7230 ,1525 ,1403 ,1420 ,1456 ,1426 ,6380 ,1337 ,1304 ,1261 ,1240 ,1238 ,5195 ,1102 ,1045 ,1052 ,1028 ,968 ,3989 ,952 ,927 ,771 ,674 ,665 ,2203 ,525 ,538 ,337 ,400 ,403 ,1726 ,385 ,352 ,349 ,347 ,293 ,1149 ,281 ,257 ,209 ,222 ,180 ,872 ,198 ,189 ,187 ,169 ,129 ,453 ,133 ,101 ,101 ,69 ,49 ,105 ,46 ,26 ,15 ,14 ,4 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,東區,女,108645 ,6265 ,987 ,1177 ,1311 ,1424 ,1366 ,7302 ,1685 ,1517 ,1277 ,1432 ,1391 ,7008 ,1442 ,1475 ,1420 ,1363 ,1308 ,6425 ,1304 ,1296 ,1435 ,1296 ,1094 ,6184 ,1291 ,1281 ,1226 ,1181 ,1205 ,5898 ,1187 ,1163 ,1153 ,1156 ,1239 ,7164 ,1202 ,1253 ,1361 ,1612 ,1736 ,10921 ,1844 ,2118 ,2266 ,2330 ,2363 ,10106 ,2100 ,2334 ,2035 ,1941 ,1696 ,8704 ,1770 ,1841 ,1754 ,1731 ,1608 ,7216 ,1444 ,1452 ,1491 ,1438 ,1391 ,6471 ,1386 ,1299 ,1248 ,1243 ,1295 ,5681 ,1133 ,1206 ,1160 ,1163 ,1019 ,4662 ,1017 ,1066 ,928 ,830 ,821 ,2772 ,635 ,634 ,427 ,519 ,557 ,2507 ,552 ,503 ,525 ,451 ,476 ,1726 ,397 ,400 ,334 ,332 ,263 ,1045 ,261 ,216 ,203 ,203 ,162 ,459 ,145 ,99 ,79 ,76 ,60 ,114 ,35 ,30 ,23 ,15 ,11 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,計,150666 ,7690 ,1298 ,1466 ,1597 ,1714 ,1615 ,8074 ,1918 ,1785 ,1397 ,1459 ,1515 ,7129 ,1533 ,1377 ,1361 ,1443 ,1415 ,8876 ,1666 ,1732 ,1913 ,1830 ,1735 ,9795 ,1900 ,2021 ,2024 ,1946 ,1904 ,9631 ,1925 ,1889 ,1933 ,1896 ,1988 ,10686 ,1884 ,1926 ,2062 ,2312 ,2502 ,14175 ,2664 ,2789 ,2978 ,2926 ,2818 ,12781 ,2652 ,2956 ,2512 ,2395 ,2266 ,11870 ,2333 ,2380 ,2366 ,2454 ,2337 ,11064 ,2323 ,2215 ,2204 ,2170 ,2152 ,10509 ,2251 ,2122 ,2012 ,2014 ,2110 ,9059 ,1864 ,1783 ,1860 ,1802 ,1750 ,7201 ,1588 ,1705 ,1373 ,1318 ,1217 ,4156 ,994 ,967 ,606 ,779 ,810 ,3413 ,766 ,702 ,728 ,639 ,578 ,2192 ,520 ,468 ,451 ,392 ,361 ,1489 ,336 ,309 ,322 ,287 ,235 ,719 ,204 ,179 ,133 ,106 ,97 ,142 ,53 ,31 ,29 ,23 ,6 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,男,73568 ,3931 ,666 ,749 ,810 ,848 ,858 ,4212 ,988 ,932 ,714 ,733 ,845 ,3652 ,790 ,683 ,728 ,730 ,721 ,4648 ,894 ,895 ,994 ,950 ,915 ,5004 ,966 ,1017 ,1046 ,1014 ,961 ,5033 ,1019 ,997 ,1024 ,985 ,1008 ,5220 ,961 ,953 ,1010 ,1140 ,1156 ,6780 ,1282 ,1277 ,1408 ,1406 ,1407 ,6153 ,1236 ,1437 ,1205 ,1146 ,1129 ,5703 ,1088 ,1167 ,1168 ,1184 ,1096 ,5465 ,1134 ,1078 ,1099 ,1079 ,1075 ,5017 ,1094 ,1031 ,964 ,929 ,999 ,4206 ,897 ,778 ,875 ,836 ,820 ,3310 ,723 ,779 ,653 ,604 ,551 ,1848 ,464 ,441 ,268 ,319 ,356 ,1382 ,316 ,296 ,288 ,245 ,237 ,873 ,196 ,192 ,188 ,150 ,147 ,669 ,140 ,136 ,146 ,135 ,112 ,382 ,101 ,104 ,71 ,51 ,55 ,72 ,22 ,19 ,18 ,10 ,3 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,北區,女,77098 ,3759 ,632 ,717 ,787 ,866 ,757 ,3862 ,930 ,853 ,683 ,726 ,670 ,3477 ,743 ,694 ,633 ,713 ,694 ,4228 ,772 ,837 ,919 ,880 ,820 ,4791 ,934 ,1004 ,978 ,932 ,943 ,4598 ,906 ,892 ,909 ,911 ,980 ,5466 ,923 ,973 ,1052 ,1172 ,1346 ,7395 ,1382 ,1512 ,1570 ,1520 ,1411 ,6628 ,1416 ,1519 ,1307 ,1249 ,1137 ,6167 ,1245 ,1213 ,1198 ,1270 ,1241 ,5599 ,1189 ,1137 ,1105 ,1091 ,1077 ,5492 ,1157 ,1091 ,1048 ,1085 ,1111 ,4853 ,967 ,1005 ,985 ,966 ,930 ,3891 ,865 ,926 ,720 ,714 ,666 ,2308 ,530 ,526 ,338 ,460 ,454 ,2031 ,450 ,406 ,440 ,394 ,341 ,1319 ,324 ,276 ,263 ,242 ,214 ,820 ,196 ,173 ,176 ,152 ,123 ,337 ,103 ,75 ,62 ,55 ,42 ,70 ,31 ,12 ,11 ,13 ,3 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新竹市,香山區,計,78065 ,4274 ,782 ,892 ,893 ,870 ,837 ,3289 ,890 ,686 ,536 ,585 ,592 ,3187 ,618 ,526 ,579 ,703 ,761 ,4710 ,849 ,894 ,1057 ,1003 ,907 ,5589 ,1103 ,1110 ,1146 ,1089 ,1141 ,5737 ,1129 ,1128 ,1214 ,1113 ,1153 ,6144 ,1143 ,1041 ,1152 ,1367 ,1441 ,7953 ,1540 ,1622 ,1654 ,1580 ,1557 ,6727 ,1463 ,1441 ,1314 ,1301 ,1208 ,6112 ,1226 ,1196 ,1260 ,1215 ,1215 ,5785 ,1114 ,1114 ,1161 ,1191 ,1205 ,5548 ,1188 ,1118 ,1070 ,1118 ,1054 ,4498 ,889 ,908 ,883 ,953 ,865 ,3322 ,836 ,760 ,651 ,514 ,561 ,1862 ,441 ,417 ,307 ,369 ,328 ,1513 ,347 ,328 ,290 ,274 ,274 ,941 ,214 ,192 ,172 ,210 ,153 ,574 ,141 ,142 ,115 ,96 ,80 ,237 ,62 ,75 ,34 ,34 ,32 ,48 ,14 ,12 ,11 ,3 ,8 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
